"","particpate","elaboration","prefood","pregas","prebank","preretail","preother","Rfreq","mile1","mile2","mile3","mile4","basemile"
"644",1,30,0,0.5645160675,5.4193534851,0,0,0,0,1,1,2,5.9838695526
"649",1,10,0,0,3.2741928101,0,0.9032254219,0,0,359,0,0,4.177418232
"671",0,0,45.1612854,0,43.806427002,1.4677410126,0,0,17,52,0,75,90.4354534146
"678",0,0,9.3709640503,2.5967731476,106.24188232,6.2096748352,7.1128997803,0,275,2,96,29,131.5321941334
"679",1,15,1.4677410126,1.3548383713,13.88709259,0,0,0,0,1,7,43,16.7096719739
"680",1,14,8.3548355103,8.1290283203,151.17736816,0.5645160675,2.145160675,0,425,89,48,2,170.3709087331
"709",0,0,68.19354248,0,0,0,0,0,0,3,0,114,68.19354248
"717",0,0,68.306396484,0,64.806396484,0,1.129032135,0,0,148,76,12,134.241825103
"729",1,26,36.806427002,5.1935462952,9.5967712402,1.6935482025,1.5806446075,0,22,12,6,31,54.8709373474
"735",0,0,0.5645160675,0,0,0.1129031777,0,0,0,0,25,3,0.6774192452
"737",0,0,0.7903223038,0,3.7258052826,0,0,0,0,0,4,4,4.5161275864
"746",0,0,0,0.2258063555,0.3387095928,0,0,0,0,0,0,0,0.5645159483
"748",0,0,5.3064498901,1.8064508438,50.580627441,0.7903223038,0.6774191856,0,217,8,18,67,59.1612696643
"753",0,0,178.38708496,3.387096405,15.35483551,1.01612854,0.1129031777,0,440,108,156,130,198.2580485927
"767",1,25,2.9354820251,2.145160675,32.06451416,1.6935482025,5.4193534851,0,5,51,29,2,44.2580585477
"789",0,0,127.4677124,3.7258052826,25.51612854,0,0,0,159,61,228,75,156.7096462226
"790",0,0,0,0,6.6612892151,0,0,0,0,0,0,0,6.6612892151
"794",0,0,16.370956421,0,54.758056641,0,0,0,217,44,21,14,71.129013062
"824",0,0,7,2.7096767426,44.822570801,0.3387095928,7.7903213501,0,0,20,25,108,62.6612784865
"830",0,0,13.09677124,4.8548355103,85.580627441,0,0,0,27,75,1,0,103.5322341913
"831",1,44,0.1129031777,5.645160675,36.806427002,0.2258063555,0.1129031777,0,53,79,4,3,42.9032003879
"833",0,0,0,0,23.59677124,0,0,0,50,135,0,0,23.59677124
"835",0,0,0,0,0,0,0.2258063555,0,0,2,0,0,0.2258063555
"838",1,12,0,0,0,0.9032254219,0,1,0,0,0,0,0.9032254219
"841",1,29,35.677398682,28.451599121,110.53222656,0.3387095928,0,0,353,2,2,29,174.9999339558
"853",1,48,25.854827881,4.7419319153,2.8225803375,7.9032249451,0.2258063555,0,1,17,108,14,41.5483714344
"859",1,26,2.4838695526,0,0,0.2258063555,0,0,0,3,9,20,2.7096759081
"865",1,28,14.90322113,12.0806427,58.258056641,0,0,0,1,0,2,1,85.241920471
"869",1,19,65.709655762,0.2258063555,6.7741928101,0,0,0,39,4,0,0,72.7096549276
"872",0,0,2.9354820251,0,8.9193496704,0,0,0,13,4,3,57,11.8548316955
"878",1,20,1.2419347763,0,60.06451416,0.3387095928,6.0967712402,0,130,35,8,1,67.7419297693
"885",0,0,0.3387095928,0,13.54838562,0,0,0,1,1,1,0,13.8870952128
"888",1,31,0.1129031777,0,73.5,0.1129031777,0,0,0,64,14,36,73.7258063554
"913",1,18,0.1129031777,2.4838695526,26.19354248,0,0,0,0,4,1,271,28.7903152103
"924",1,13,8.6935424805,0,0,0,0,0,0,1,0,0,8.6935424805
"925",1,24,8.8064498901,0,11.06451416,0,0,0,30,17,9,0,19.8709640501
"932",0,0,0,0,92.580627441,0,0,0,0,0,0,619,92.580627441
"933",1,10,0,0.7903223038,33.53225708,0,1.4677410126,0,0,0,0,0,35.7903203964
"937",1,27,7.6774177551,7.3387069702,0,0,0,0,24,15,2,0,15.0161247253
"940",1,5,0.5645160675,0,9.0322570801,0,0,9,24,1,0,0,9.5967731476
"950",0,0,0,1.2419347763,15.35483551,0,0,0,26,0,11,0,16.5967702863
"952",1,16,0,0,246.24182129,0.451612711,1.3548383713,0,2,3,0,1,248.0482723723
"1002",1,15,0.451612711,0,77.451599121,0,30.370956421,0,60,32,297,0,108.274168253
"1009",1,14,4.629032135,0.1129031777,14.79032135,0.2258063555,0,0,61,9,9,0,19.7580630182
"1012",1,27,2.25806427,0,19.19354248,1.6935482025,0,0,3,33,3,2,23.1451549525
"1015",1,41,14.67741394,0.451612711,14,0,0,0,9,5,12,141,29.129026651
"1017",0,0,0,0.451612711,0,0,0.451612711,0,2,0,0,1,0.903225422
"1021",0,0,0,0,32.177398682,0,0,0,0,0,0,6,32.177398682
"1022",0,0,41.09677124,0,7.2258033752,1.2419347763,0,0,83,13,63,0,49.5645093915
"1033",1,24,6.6612892151,3.2741928101,9.0322570801,0,0.6774191856,0,40,0,20,7,19.6451582909
"1044",0,0,12.64515686,14.11289978,54.080627441,0,4.9677391052,0,197,32,6,8,85.8064231862
"1051",0,0,24.1612854,0.451612711,37.59677124,12.983863831,2.3709659576,0,102,0,77,38,77.5644991396
"1058",1,17,0,0,28.338699341,0,0,0,0,2,0,2,28.338699341
"1064",0,0,22.5806427,10.61289978,67.516113281,0,0,0,436,3,15,2,100.709655761
"1069",1,0,3.2741928101,2.4838695526,13.77419281,0,4.0645141602,0,5,21,38,43,23.5967693329
"1070",0,0,0.451612711,0.6774191856,9.7096710205,0,0.1129031777,0,0,0,49,2,10.9516060948
"1089",1,56,5.0806427002,10.1612854,81.741882324,0,0,0,154,36,2,2,96.9838104242
"1093",0,0,0.3387095928,16.59677124,36.016113281,0,0,0,277,4,4,10,52.9515941138
"1103",1,18,0,0,0.5645160675,0,5.645160675,0,2,0,2,0,6.2096767425
"1127",0,0,0,0,36.580627441,0,0,0,0,0,178,46,36.580627441
"1136",1,28,20.774185181,0.3387095928,41.887084961,0.1129031777,6.887096405,0,283,56,436,0,69.9999793175
"1143",1,34,1.2419347763,0.9032254219,4.1774177551,0,0,0,0,9,0,5,6.3225779533
"1144",0,0,6.6612892151,0,61.080627441,0.1129031777,0,0,113,0,66,0,67.8548198338
"1147",0,0,2.0322570801,0,5.75806427,0,75.758056641,0,4,2,5,1,83.5483779911
"1149",1,17,87.274169922,0,26.419342041,13.209671021,10.95160675,0,43,124,43,61,137.854789734
"1164",1,9,14.67741394,0,19.306442261,2.145160675,0,0,0,4,93,9,36.129016876
"1167",1,7,0.6774191856,0.5645160675,50.580627441,0.2258063555,0,0,2,20,1,152,52.0483690496
"1193",0,0,0,11.741928101,55.548370361,0,0,0,0,1,4,0,67.290298462
"1206",0,0,5.75806427,0,6.3225784302,0,2.8225803375,0,1,0,0,29,14.9032230377
"1208",0,0,1.3548383713,8.8064498901,0.7903223038,0.2258063555,1.6935482025,0,14,2,9,3,12.8709651232
"1209",0,0,8.5806427002,0,0,0.2258063555,0,0,0,2,0,2,8.8064490557
"1215",0,0,0,2.25806427,3.7258052826,0,0,0,0,0,0,5,5.9838695526
"1240",0,0,10.725799561,2.5967731476,37.03225708,0,2.7096767426,0,4,3,58,15,53.0645065312
"1254",0,0,31.725799561,0,44.145141602,0,0,0,40,74,4,1,75.870941163
"1260",0,0,0.2258063555,0,21.225799561,0,0,0,1,43,0,0,21.4516059165
"1262",0,0,0.1129031777,0,10.61289978,0,0,0,0,2,0,0,10.7258029577
"1267",0,0,5.8709640503,0,15.69354248,0.2258063555,0,0,10,140,6,3,21.7903128858
"1287",0,0,7,0.9032254219,40.306427002,0,1.6935482025,0,1,17,3,36,49.9032006264
"1294",0,0,0.5645160675,10.725799561,72.709655762,0,18.06451416,0,27,0,397,3,102.0644855505
"1298",0,0,30.822570801,0,67.854797363,0,0,0,61,4,222,11,98.677368164
"1300",0,0,0,0,4.51612854,0,0.7903223038,0,0,0,0,2,5.3064508438
"1303",1,26,31.387084961,0.451612711,32.290313721,0.2258063555,0.6774191856,0,131,22,0,4,65.0322369341
