original,X1,0.091973186,0.072797635
FALSE,0.080091165,,0.080091165
FALSE,0.059311214,,0.059311214
FALSE,0.054886306,,0.054886306
FALSE,0.058276857,,0.058276857
TRUE,0.155776414,0.155776414,
FALSE,0.075812939,,0.075812939
FALSE,0.052932267,,0.052932267
FALSE,0.130145539,,0.130145539
FALSE,0.103820609,,0.103820609
FALSE,0.077891125,,0.077891125
FALSE,0.079578148,,0.079578148
FALSE,0.075432068,,0.075432068
FALSE,0.075942663,,0.075942663
FALSE,0.08230447,,0.08230447
FALSE,0.069341612,,0.069341612
TRUE,0.148300448,0.148300448,
FALSE,0.056796683,,0.056796683
FALSE,0.082432225,,0.082432225
FALSE,0.100469685,,0.100469685
FALSE,0.064325667,,0.064325667
FALSE,0.072703153,,0.072703153
FALSE,0.062847725,,0.062847725
FALSE,0.086825476,,0.086825476
FALSE,0.087984506,,0.087984506
FALSE,0.089493151,,0.089493151
FALSE,0.135895632,,0.135895632
FALSE,0.077533876,,0.077533876
FALSE,0.069066201,,0.069066201
FALSE,0.145556688,,0.145556688
FALSE,0.061546337,,0.061546337
FALSE,0.063350686,,0.063350686
FALSE,0.065005508,,0.065005508
FALSE,0.138356891,,0.138356891
FALSE,0.078966202,,0.078966202
FALSE,0.089682417,,0.089682417
FALSE,0.061870965,,0.061870965
FALSE,0.078704747,,0.078704747
FALSE,0.05901807,,0.05901807
FALSE,0.057164896,,0.057164896
FALSE,0.065122777,,0.065122777
FALSE,0.062483284,,0.062483284
FALSE,0.060676784,,0.060676784
FALSE,0.060490972,,0.060490972
FALSE,0.110425682,,0.110425682
FALSE,0.071716422,,0.071716422
FALSE,0.061623847,,0.061623847
FALSE,0.066019303,,0.066019303
FALSE,0.088967873,,0.088967873
FALSE,0.064648691,,0.064648691
FALSE,0.076658751,,0.076658751
FALSE,0.08750098,,0.08750098
FALSE,0.071411486,,0.071411486
TRUE,0.108026361,0.108026361,
FALSE,0.061004019,,0.061004019
FALSE,0.051907847,,0.051907847
FALSE,0.060356645,,0.060356645
FALSE,0.078366577,,0.078366577
FALSE,0.104449041,,0.104449041
FALSE,0.079067089,,0.079067089
FALSE,0.058201036,,0.058201036
FALSE,0.109300306,,0.109300306
TRUE,0.080160099,0.080160099,
FALSE,0.071221785,,0.071221785
FALSE,0.072343337,,0.072343337
FALSE,0.065358704,,0.065358704
FALSE,0.104836229,,0.104836229
FALSE,0.096175972,,0.096175972
FALSE,0.059667261,,0.059667261
FALSE,0.076208012,,0.076208012
FALSE,0.069739951,,0.069739951
FALSE,0.105841102,,0.105841102
FALSE,0.083515931,,0.083515931
FALSE,0.082946205,,0.082946205
FALSE,0.068580252,,0.068580252
FALSE,0.059515583,,0.059515583
FALSE,0.057048516,,0.057048516
FALSE,0.073591709,,0.073591709
FALSE,0.069416026,,0.069416026
FALSE,0.054458236,,0.054458236
TRUE,0.144295785,0.144295785,
FALSE,0.067774323,,0.067774323
TRUE,0.115178607,0.115178607,
FALSE,0.060932785,,0.060932785
TRUE,0.075393082,0.075393082,
TRUE,0.066837924,0.066837924,
FALSE,0.076114751,,0.076114751
FALSE,0.069663561,,0.069663561
FALSE,0.060897257,,0.060897257
FALSE,0.158537205,,0.158537205
FALSE,0.059563571,,0.059563571
TRUE,0.057993041,0.057993041,
FALSE,0.102984808,,0.102984808
FALSE,0.062990354,,0.062990354
FALSE,0.063820187,,0.063820187
FALSE,0.083293605,,0.083293605
TRUE,0.077751314,0.077751314,
FALSE,0.06016627,,0.06016627
FALSE,0.065123306,,0.065123306
FALSE,0.072292774,,0.072292774
FALSE,0.071503405,,0.071503405
FALSE,0.093260023,,0.093260023
TRUE,0.072073694,0.072073694,
FALSE,0.080363995,,0.080363995
FALSE,0.063084309,,0.063084309
FALSE,0.081492012,,0.081492012
FALSE,0.061124959,,0.061124959
FALSE,0.101715518,,0.101715518
FALSE,0.093225379,,0.093225379
TRUE,0.176355918,0.176355918,
FALSE,0.087201304,,0.087201304
FALSE,0.08203916,,0.08203916
FALSE,0.109105623,,0.109105623
FALSE,0.095798115,,0.095798115
FALSE,0.13065227,,0.13065227
FALSE,0.06744054,,0.06744054
FALSE,0.075966546,,0.075966546
FALSE,0.072813996,,0.072813996
FALSE,0.054714154,,0.054714154
FALSE,0.070714557,,0.070714557
FALSE,0.060490862,,0.060490862
FALSE,0.116757751,,0.116757751
FALSE,0.053453202,,0.053453202
FALSE,0.064223182,,0.064223182
TRUE,0.093665485,0.093665485,
FALSE,0.132317119,,0.132317119
TRUE,0.100626012,0.100626012,
TRUE,0.068845499,0.068845499,
FALSE,0.059633344,,0.059633344
FALSE,0.089257726,,0.089257726
FALSE,0.287807887,,0.287807887
FALSE,0.068353155,,0.068353155
FALSE,0.078324159,,0.078324159
FALSE,0.071770328,,0.071770328
FALSE,0.0688429,,0.0688429
FALSE,0.107388517,,0.107388517
FALSE,0.080498164,,0.080498164
FALSE,0.070526231,,0.070526231
FALSE,0.052704553,,0.052704553
FALSE,0.099468257,,0.099468257
FALSE,0.052833659,,0.052833659
FALSE,0.086507866,,0.086507866
FALSE,0.06316155,,0.06316155
FALSE,0.095517903,,0.095517903
FALSE,0.054205399,,0.054205399
FALSE,0.054805931,,0.054805931
FALSE,0.128127945,,0.128127945
FALSE,0.063567219,,0.063567219
FALSE,0.076642213,,0.076642213
FALSE,0.06153201,,0.06153201
FALSE,0.086967715,,0.086967715
FALSE,0.072735381,,0.072735381
FALSE,0.06491045,,0.06491045
FALSE,0.102430496,,0.102430496
FALSE,0.062688595,,0.062688595
FALSE,0.066000175,,0.066000175
FALSE,0.063119264,,0.063119264
FALSE,0.059201698,,0.059201698
FALSE,0.085361073,,0.085361073
FALSE,0.065807557,,0.065807557
FALSE,0.051752534,,0.051752534
TRUE,0.088063633,0.088063633,
FALSE,0.080992997,,0.080992997
FALSE,0.062489791,,0.062489791
FALSE,0.07225319,,0.07225319
TRUE,0.085034184,0.085034184,
FALSE,0.097150497,,0.097150497
FALSE,0.059734287,,0.059734287
FALSE,0.066390681,,0.066390681
FALSE,0.083085057,,0.083085057
FALSE,0.07933898,,0.07933898
FALSE,0.124410896,,0.124410896
TRUE,0.124079801,0.124079801,
FALSE,0.053575035,,0.053575035
FALSE,0.056951352,,0.056951352
FALSE,0.061353785,,0.061353785
FALSE,0.058698832,,0.058698832
FALSE,0.062441952,,0.062441952
TRUE,0.067450908,0.067450908,
FALSE,0.084770212,,0.084770212
FALSE,0.075135853,,0.075135853
FALSE,0.099810717,,0.099810717
FALSE,0.060752543,,0.060752543
FALSE,0.081850693,,0.081850693
FALSE,0.075176518,,0.075176518
FALSE,0.102941594,,0.102941594
FALSE,0.070996284,,0.070996284
FALSE,0.069252314,,0.069252314
