"o","X1"
0,3.45071741590599
0,0
0,3.51772650516299
0,0
0,3.50211818280342
0,0
0,0
0,0
0,3.4684022733674
0,0
0,0
0,0
0,3.50331574674566
0,0
0,0
0,0
0,0
0,3.48205225652615
0,3.69682663053072
0,0
0,0
0,3.52407394250633
0,3.49105055515225
0,0
0,3.51893029428192
0,0
0,0
0,0
0,0
0,3.49019340574111
0,3.53832418056783
0,0
0,0
0,3.48230288400697
0,0
0,3.58146054698438
2.8213768005,0
0,3.51644702384374
0,0
0,0
0,0
0,0
0,3.47312408337721
0,3.49795784632519
0,3.4854619256526
0,3.46432152226225
0,0
0,0
0,3.49073708830905
3.6597061157,3.53206370350387
0,0
0,0
0,0
0,0
0,3.48414060502954
0,0
0,3.58939292858384
0,0
0,0
0,0
0,0
3.2523097992,0
0,0
0,3.54143849125213
0,3.44976513130398
0,3.53773073133973
0,3.50860026983968
0,3.57773322696928
0,3.49947540665534
0,0
0,3.47807974381201
0,3.51383882194882
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.0872840881,0
0,3.47426156185521
0,3.54309508743708
0,0
0,0
0,0
0,0
0,3.46866028709256
0,3.52214970546758
0,3.49051833617634
0,3.51420111777294
0,0
0,0
0,0
0,3.57411405567709
0,3.51868313610739
0,3.56429463479065
0,3.46686693172939
0,3.50255683768639
0,0
0,3.50285614382519
0,3.48446814790928
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.52178905212417
0,0
0,0
0,0
0,0
0,0
0,0
0,3.50200944782752
0,0
0,3.47914586455653
0,3.51890445006886
0,3.50322320034627
0,0
0,3.49691002927406
0,3.48902563003339
0,0
0,3.5149910708602
0,0
0,3.47979739914752
3.7111282349,3.47651278899339
0,3.48922970175257
0,3.59981235554195
0,3.49054893418986
0,0
0,0
0,3.47379956531725
0,3.50262098579353
0,0
0,0
0,3.49894294039829
0,0
0,3.49379572493984
0,3.55663392690412
0,0
0,0
0,3.48486705335961
0,0
0,0
0,0
0,0
0,3.55158207314005
0,0
0,3.97887756187057
0,0
5.5069541931,0
0,0
0,0
0,0
0,0
0,3.523717459763
0,3.47465452194679
3.4610366821,0
0,3.5254957631254
0,3.5202131049436
0,0
0,3.52376903746471
0,3.46906383798438
0,3.47926521655476
2.9391613007,3.51309141803283
0,3.56013460827355
0,3.52857118055734
0,0
0,0
0,3.53677764289033
0,0
0,0
0,0
0,3.47461552006306
0,3.4831878779235
0,0
0,0
0,0
0,3.50106145351105
0,0
0,0
0,3.45612189903843
0,0
0,0
0,0
0,0
0,0
0,0
4.3329658508,3.48983072744586
0,0
0,3.57194009417453
0,3.50007294506945
3.0349521637,0
0,3.4533385216402
0,0
0,0
0,0
0,0
0,3.52355384046866
0,0
0,3.57688604080439
0,3.5329153073682
0,0
0,0
0,0
0,0
0,0
0,3.50567430041406
0,0
0,3.52235652598978
0,3.54462353255137
0,0
0,3.56163297545094
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.54203509589334
0,3.44974641803553
0,3.68006345509954
0,0
0,0
0,0
0,0
0,3.47456203732616
0,0
0,0
0,3.54069286755492
0,3.50712998882254
0,3.60791019149671
0,3.46406602633895
0,3.53771738165325
5.1469116211,3.5550146146473
0,3.51764097008178
0,3.62433107153613
0,3.62446541601021
0,3.53707546601131
0,0
0,3.50153501573877
0,0
0,0
0,0
0,0
0,0
0,0
0,3.49465377851844
0,0
0,0
0,0
0,0
0,0
0,0
0,3.51178750692941
0,0
0,0
0,3.49019627711375
0,0
3.8856773376,3.52522043234063
3.5204601288,0
0,0
0,0
0,0
0,3.52602612740674
0,0
0,0
0,0
0,3.61278977790691
0,0
2.9391613007,3.49922658498757
0,0
0,3.46829014084224
0,3.50929607519573
0,3.52591460971841
0,0
0,0
0,0
2.3933391571,3.51034054724785
0,0
0,0
0,0
0,3.53189870805299
0,0
0,0
0,3.48752857667348
0,0
0,0
0,0
0,0
0,3.49098257598237
0,0
0,0
0,3.53832848512276
0,3.49783674405452
0,3.48938448294431
1.7833900452,0
3.4275131226,3.54036037590493
0,0
3.0773105621,3.57026568858074
0,0
0,0
0,0
0,0
3.3772449493,3.4400237637511
0,0
4.4811897278,3.60435684008734
0,0
0,0
0,0
3.3621082306,0
0,0
0,0
0,0
0,3.49948678048796
3.1842937469,0
0,3.52382756166491
0,3.49009038421812
0,3.50488510982477
0,0
0,0
0,3.47852610530334
0,0
0,0
0,0
0,3.51990342022046
0,3.46709122862144
3.8751506805,3.58687455366487
0,0
0,0
0,0
0,0
0,0
0,3.50490742049185
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.71761107209046
0,0
0,0
0,3.48048933378559
0,0
0,3.51034910197271
0,0
0,0
0,3.56895673974124
0,0
0,3.46603142065821
0,0
0,0
0,0
0,0
0,3.52712186797194
0,3.51675618801125
0,0
0,0
0,0
4.0474243164,3.58277113836372
0,0
0,3.523714598208
0,3.5181375619713
0,3.50476647001654
3.2542419434,0
0,3.47631418350342
0,0
0,0
0,0
0,3.47019564773475
0,3.48252191735385
0,0
0,0
0,3.52009812887619
0,0
0,0
0,3.79354928563979
0,3.52184395796127
0,0
0,0
0,0
0,3.50771570110882
0,3.8033942391551
0,0
0,3.49864145013836
0,3.47057160520544
0,0
0,3.57272410806314
0,0
0,0
0,0
0,0
0,3.51242544446923
0,3.52305427426444
0,0
0,0
3.0563564301,0
0,0
0,0
0,0
0,3.55871332325627
0,0
0,0
0,0
0,0
2.2965660095,0
0,0
2.9391613007,3.48985208050363
3.5216426849,3.52213250524784
0,0
0,3.47705421019015
0,0
0,0
0,0
0,3.47954407801743
0,3.51210617956368
0,3.6116988746131
0,3.52001334752564
0,3.51216612408575
0,3.49620946099938
0,0
0,0
0,3.43094264869883
0,0
0,3.47814875772416
0,3.78421834507096
0,3.49640562201253
0,0
0,0
0,0
0,3.51270821752506
0,0
0,0
2.8820018768,3.55196433365363
0,0
0,0
0,3.49551617895604
0,0
0,0
0,0
0,3.46153055316802
0,0
0,0
0,0
0,0
0,3.52431160103582
0,0
0,0
0,0
0,0
0,0
0,0
3.2752552032,3.58414453275662
0,3.63186548913627
0,0
0,0
0,0
0,3.51884089987902
0,3.55129179872403
0,3.50528646339355
0,3.50930291540422
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.54315475001923
0,3.49949698295125
0,3.52523918934305
0,0
0,0
0,0
0,3.50301555051959
2.9172286987,3.59970725309663
0,0
0,3.55902280080053
0,3.51011000382006
0,3.61461010263483
0,3.4832386603094
0,0
0,0
0,3.5813200753702
0,3.48303254349123
0,0
0,0
0,0
0,0
0,0
0,3.49771462497639
0,3.53907353510954
0,0
0,3.51525243910901
0,3.50757965023784
0,0
0,0
0,0
3.5751495361,0
0,3.49678640141636
4.1059417725,3.51401425022965
0,0
0,3.62425813534196
0,0
0,3.4749823714136
0,3.59401362688972
0,0
0,3.48208790409891
0,3.49861526255682
0,0
0,0
0,3.56930175104753
0,0
0,3.57354032910654
3.5751495361,0
0,0
0,0
0,0
5.0146255493,3.55550050147391
0,0
0,0
0,0
0,0
3.2523097992,3.47391283546565
0,3.5484375895319
0,3.51702540278007
0,3.67980722838535
3.6320438385,3.59687707049834
0,3.4726162112522
0,0
0,0
0,3.59438085677024
0,0
0,0
0,3.48169954753525
0,0
0,0
0,3.67656872906417
0,0
0,0
0,0
0,3.49129141607316
0,0
0,0
0,0
0,0
0,3.46087264910473
0,0
0,0
0,3.59460871043849
3.1717834473,3.49323643005493
0,0
0,0
0,0
0,3.60158482823194
0,3.48130490074868
0,0
0,0
0,3.64680511362513
0,0
0,3.48101675447327
0,0
0,3.48631906349104
0,0
0,0
3.4336624146,3.57656935512381
0,3.50243948681347
0,0
0,0
0,0
3.2503738403,0
0,0
0,3.52684797378129
0,3.5117170596202
0,3.4867164282745
0,0
0,3.4961204100522
0,0
0,0
0,0
0,0
0,3.58243147439392
0,0
0,0
0,0
0,0
0,0
0,0
0,3.46854414564228
0,3.59377788550118
0,3.48314792710353
0,0
0,0
0,0
0,0
0,3.51641592320495
3.3809928894,0
0,0
0,3.60568733177817
0,0
0,3.54392750900924
0,0
0,3.49057392393801
3.8856773376,3.51650802687842
0,3.492617394965
0,0
0,3.48438450998945
0,0
0,0
0,3.49757655209672
0,3.51941006164833
0,0
0,0
0,0
0,3.49972061810521
0,0
0,3.50565796487884
0,0
0,0
0,0
0,0
0,3.46947320234673
0,3.56369416207863
0,3.50711382042375
0,0
0,3.52274988043029
0,0
0,0
0,0
0,3.47798464459021
0,0
0,0
0,3.56702974704448
0,0
0,0
0,0
3.4320487976,3.45206849078755
0,0
2.8243484497,0
0,3.48311328259824
0,3.72470264002824
0,3.4916660407252
0,0
0,0
0,0
0,0
0,0
0,0
3.4464874268,3.50988803578974
0,0
0,3.50857136071372
0,0
0,0
4.3707122803,3.52417149880014
0,0
0,0
0,0
0,3.53370514010918
0,0
3.3250350952,3.56294650460444
0,0
0,0
0,3.4611382766234
0,0
0,0
0,3.56284291205837
0,0
0,0
0,3.58575905465726
0,0
0,3.47926872821505
0,0
0,0
0,0
0,3.52228015356147
0,0
0,3.58333140032507
0,0
0,0
0,3.4745899574661
0,3.50088060682277
0,3.56663680138545
0,3.49907094303998
0,0
0,0
0,0
0,0
0,0
2.7688312531,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.49744920677169
0,3.6500574305815
0,0
0,0
0,0
0,0
0,0
0,0
0,3.49555725585818
0,0
0,0
4.2002029419,0
0,3.47258226915766
0,3.50644777437329
0,0
0,0
0,0
0,0
3.6584186554,3.49246012618066
0,3.56226934968547
0,0
0,0
0,3.53619741979773
0,0
0,0
0,0
0,0
0,3.54556188995953
0,3.65352292460124
0,3.56213542646947
0,3.50034641919933
0,0
3.8210029602,0
0,3.49218729344593
0,3.48403974161094
0,0
0,3.54770680896163
0,3.48829469239802
0,3.49210304729389
0,3.59551183191916
0,0
4.3592681885,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.49809267991054
0,0
0,3.5463308740596
0,0
0,3.50222856633145
0,0
0,3.47125836606989
4.5277481079,3.52516438884825
0,3.51045056273873
0,0
0,3.51485195425846
0,3.46888120570036
0,0
3.9269104004,3.46979523186137
0,3.54250875398639
0,3.47496398946757
0,0
0,3.53548719957163
0,0
0,0
0,3.5711869621897
0,0
0,3.53700298693391
0,0
0,3.49638664970535
0,0
0,0
0,0
0,0
0,3.60090274252953
4.0007629395,3.47998584501641
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.52671420857497
0,0
0,0
0,0
0,0
0,0
0,3.62659758937467
0,3.50856005107335
0,3.51647893156668
2.7663173676,3.49852247761493
0,0
0,0
0,0
0,0
0,0
0,0
0,3.53454401517595
0,0
0,3.49105870882013
0,3.49917245497201
0,3.47776506571597
0,0
2.4807300568,0
0,0
0,0
0,3.57809503054688
2.9123497009,3.4858006107278
0,0
0,0
0,0
0,0
0,3.48805618186921
0,3.45632120536779
0,3.497475522321
0,3.58641002552924
0,0
0,0
0,3.51799474305811
0,3.46588892288682
0,0
0,0
0,0
0,0
4.2031974792,3.72396143228081
0,0
0,0
0,0
0,3.4990085215838
0,0
0,3.60984016480483
0,3.51446148963314
0,3.61721006339416
0,0
0,3.49149517230399
0,3.575035614625
0,3.64839341582308
0,3.481680016597
0,0
0,0
0,0
0,0
0,0
0,3.55146400894213
0,3.47080524646602
0,3.47889375230754
0,0
0,0
0,3.53053644556547
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3.50247979597477
0,0
0,3.55453645278401
3.8042144775,3.51537112053958
0,0
0,3.47808196361732
0,0
0,0
0,3.53409327044002
0,3.52151710191904
0,0
0,3.52117645444393
0,0
0,3.51175777139497
0,0
0,0
0,0
0,0
0,3.54694468371662
0,0
0,0
0,0
0,3.83686073556953
0,3.58947222313232
0,3.4869179665635
0,0
0,0
0,0
0,3.4731751620572
0,0
2.9907188416,3.60518504969568
0,0
0,0
0,0
0,3.54588312468223
0,0
0,0
0,3.54965514262506
0,0
0,3.49680089420968
3.3638401031,3.50163383315864
0,0
0,0
0,0
0,0
0,0
2.9365119934,0
0,3.53414019941277
0,3.61518419049406
0,3.49687301071353
0,0
0,0
0,0
